City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Northam,GB,2021-04-06 21:25:30,51.0333,-4.2167,39.99,75,66,11.99
68,Comodoro Rivadavia,AR,2021-04-06 21:22:53,-45.8667,-67.5,68.0,64,20,9.22
69,Tucumcari,US,2021-04-06 21:25:30,35.1717,-103.725,84.2,7,1,29.93
70,Katsuura,JP,2021-04-06 21:25:31,35.1333,140.3,50.0,77,54,11.97
71,Sistranda,NO,2021-04-06 21:22:13,63.7256,8.834,39.2,70,75,27.63
72,Ormara,PK,2021-04-06 21:25:31,25.2088,64.6357,81.7,35,0,4.27
73,College,US,2021-04-06 21:25:32,64.8569,-147.8028,12.0,61,20,1.74
74,Upernavik,GL,2021-04-06 21:25:32,72.7868,-56.1549,8.38,92,100,16.6
75,Ponta Do Sol,PT,2021-04-06 21:25:32,32.6667,-17.1,61.0,69,13,5.01
76,Chuy,UY,2021-04-06 21:25:33,-33.6971,-53.4616,70.41,79,10,7.83
77,Belmonte,BR,2021-04-06 21:25:33,-15.8631,-38.8828,77.0,78,75,2.3
78,Tiksi,RU,2021-04-06 21:25:34,71.6872,128.8694,-13.2,99,44,6.24
79,Hermanus,ZA,2021-04-06 21:25:34,-34.4187,19.2345,59.0,90,30,1.01
80,Fort-Shevchenko,KZ,2021-04-06 21:25:34,44.5086,50.263,46.0,68,0,7.74
81,Afua,BR,2021-04-06 21:25:35,-0.1567,-50.3867,78.85,89,92,5.01
82,Goedereede,NL,2021-04-06 21:25:35,51.8175,3.9806,37.0,75,98,7.0
83,Taoudenni,ML,2021-04-06 21:25:35,22.6783,-3.9836,85.6,11,0,9.08
84,Tasiilaq,GL,2021-04-06 21:25:36,65.6145,-37.6368,21.2,93,100,20.71
85,Konongo,GH,2021-04-06 21:25:36,6.6167,-1.2167,76.44,81,54,4.47
86,Nyurba,RU,2021-04-06 21:25:37,63.2842,118.3319,12.87,95,100,7.7
87,Hami,CN,2021-04-06 21:25:37,42.8,93.45,56.34,25,41,4.18
88,Mayor Pablo Lagerenza,PY,2021-04-06 21:21:38,-19.9309,-60.7718,82.96,61,73,5.99
89,Chokurdakh,RU,2021-04-06 21:25:37,70.6333,147.9167,-21.17,92,98,1.79
90,Novyy Urengoy,RU,2021-04-06 21:25:38,66.0833,76.6333,29.71,93,100,14.52
91,Bethel,US,2021-04-06 21:25:38,41.3712,-73.414,66.2,22,1,14.97
92,Ystad,SE,2021-04-06 21:25:39,55.4297,13.8204,37.99,86,20,8.05
93,Kapaa,US,2021-04-06 21:25:39,22.0752,-159.319,78.8,47,20,21.85
94,Hailey,US,2021-04-06 21:25:39,43.5196,-114.3153,51.8,37,20,9.22
95,Cabo San Lucas,MX,2021-04-06 21:25:06,22.8909,-109.9124,80.6,60,1,4.61
96,Kirovskiy,RU,2021-04-06 21:25:40,45.0917,133.5136,31.39,72,7,4.65
97,Ribeira Grande,PT,2021-04-06 21:25:40,38.5167,-28.7,62.6,77,20,4.61
98,Bayan,CN,2021-04-06 21:25:41,46.0833,127.4,27.12,32,0,10.42
99,Kiunga,PG,2021-04-06 21:25:41,-6.1219,141.2906,73.58,99,100,2.86
100,Khor,RU,2021-04-06 21:25:42,47.8861,134.9464,28.17,46,57,11.56
101,Ilulissat,GL,2021-04-06 21:25:42,69.2167,-51.1,19.4,86,75,9.22
102,Avarua,CK,2021-04-06 21:25:43,-21.2078,-159.775,82.4,69,75,13.8
103,Gondanglegi,ID,2021-04-06 21:25:43,-7.7479,112.0132,73.8,93,80,3.56
104,Karpogory,RU,2021-04-06 21:25:43,64.0019,44.4451,38.05,85,100,13.82
105,Nong Bua,TH,2021-04-06 21:25:44,15.8646,100.5858,76.98,84,100,8.34
106,Novyy Urgal,RU,2021-04-06 21:25:44,51.0736,132.5642,18.73,68,33,4.16
107,Krasnoselkup,RU,2021-04-06 21:25:44,65.7,82.4667,32.45,98,100,10.27
108,Nemuro,JP,2021-04-06 21:25:45,43.3236,145.575,33.49,74,100,7.52
109,Lukaya,UG,2021-04-06 21:25:45,-0.1489,31.8748,75.2,78,40,5.75
110,Chino Valley,US,2021-04-06 21:25:46,34.7575,-112.4538,75.99,6,1,14.97
111,Tiquisio,CO,2021-04-06 21:25:46,8.5597,-74.2669,84.0,76,100,2.37
112,Salalah,OM,2021-04-06 21:25:46,17.0151,54.0924,80.6,74,0,2.3
113,Leningradskiy,RU,2021-04-06 21:25:47,69.3833,178.4167,-8.01,91,65,6.08
114,Hilo,US,2021-04-06 21:25:47,19.7297,-155.09,69.8,83,90,10.36
115,Bereda,ES,2021-04-06 21:25:47,43.2686,-7.5406,46.0,90,98,14.0
116,Madinat Sittah Uktubar,EG,2021-04-06 21:25:48,29.8167,31.05,75.0,46,100,8.05
117,Adrar,MR,2021-04-06 21:25:48,20.5022,-10.0711,83.35,14,3,7.4
118,Porto Tolle,IT,2021-04-06 21:25:49,44.9497,12.3245,37.0,89,58,6.58
119,Awjilah,LY,2021-04-06 21:25:49,29.1081,21.2869,64.26,59,89,15.61
120,Gravdal,NO,2021-04-06 21:25:49,68.1214,13.5031,35.6,69,75,29.93
121,Geraldton,AU,2021-04-06 21:25:50,-28.7667,114.6,68.0,83,36,5.75
122,Salto,UY,2021-04-06 21:23:29,-31.3833,-57.9667,84.2,54,40,3.06
123,Cururupu,BR,2021-04-06 21:25:51,-1.8283,-44.8683,78.82,78,60,4.32
124,Jamestown,US,2021-04-06 21:21:53,42.097,-79.2353,71.01,42,75,4.61
125,Sokoni,TZ,2021-04-06 21:25:51,-6.4333,39.55,81.82,77,41,14.85
126,Plavinas,LV,2021-04-06 21:25:52,56.6178,25.7255,30.85,85,30,6.96
127,Reyes,BO,2021-04-06 21:25:52,-14.3167,-67.3833,89.6,66,40,3.42
128,Yellowknife,CA,2021-04-06 21:25:53,62.456,-114.3525,19.0,73,90,17.27
129,Saldanha,ZA,2021-04-06 21:25:53,-33.0117,17.9442,62.6,63,4,4.61
130,Mar Del Plata,AR,2021-04-06 21:25:33,-38.0023,-57.5575,71.01,94,75,11.5
131,Camabatela,AO,2021-04-06 21:25:54,-8.1881,15.375,62.28,98,94,2.95
