City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Evensk,RU,61.95,159.2333,12.0,77,19,12.17,few clouds
80,San Patricio,US,28.017,-97.5169,88.0,54,1,14.97,clear sky
81,Yumen,CN,40.2833,97.2,49.64,44,100,14.81,overcast clouds
82,Turbat,PK,26.0023,63.044,78.73,25,37,2.93,scattered clouds
83,Libreville,GA,0.3925,9.4537,84.2,84,40,9.22,light rain
84,Dakar,SN,14.6937,-17.4441,71.6,73,0,13.8,clear sky
85,Teya,RU,60.3778,92.6267,30.31,96,100,2.33,overcast clouds
86,Dangriga,BZ,16.9692,-88.2321,87.01,74,40,8.05,scattered clouds
87,Tigzirt,DZ,36.8886,4.1198,56.95,78,74,12.17,broken clouds
88,Praia,CV,14.9215,-23.5087,73.4,73,0,25.32,clear sky
89,Podor,MR,16.6527,-14.9587,104.0,17,0,2.3,clear sky
90,Acapulco,MX,16.8634,-99.8901,87.8,58,1,11.5,clear sky
91,Kristiinankaupunki,FI,62.2743,21.376,32.67,74,10,11.1,clear sky
92,Chuy,UY,-33.6971,-53.4616,74.28,74,100,8.16,overcast clouds
93,Coquimbo,CL,-29.9533,-71.3436,66.2,68,0,14.97,clear sky
94,Upernavik,GL,72.7868,-56.1549,25.43,67,100,5.86,overcast clouds
95,Lebu,CL,-37.6167,-73.65,58.93,72,3,7.54,clear sky
96,Maldonado,UY,-34.6667,-54.9167,81.0,69,0,8.05,clear sky
97,Arraial Do Cabo,BR,-22.9661,-42.0278,77.0,73,40,5.75,scattered clouds
98,Vardo,NO,70.3705,31.1107,32.0,80,40,11.5,scattered clouds
99,Fortuna,US,40.5982,-124.1573,57.99,66,1,16.11,clear sky
100,Acarau,BR,-2.8856,-40.12,81.09,78,97,15.9,overcast clouds
101,Berdigestyakh,RU,62.0989,126.6992,32.02,99,100,2.46,snow
102,Nanortalik,GL,60.1432,-45.2371,37.22,73,96,10.74,overcast clouds
103,Sao Miguel Do Araguaia,BR,-13.275,-50.1628,75.65,84,99,5.01,overcast clouds
104,Avarua,CK,-21.2078,-159.775,80.6,83,75,9.22,broken clouds
105,Sao Filipe,CV,14.8961,-24.4956,74.75,63,1,7.2,clear sky
106,East London,ZA,-33.0153,27.9116,66.74,81,76,5.59,broken clouds
107,Khartoum,SD,15.5518,32.5324,90.0,10,18,15.48,few clouds
108,San Cristobal,VE,7.7669,-72.225,89.6,55,40,13.8,scattered clouds
109,Cape Town,ZA,-33.9258,18.4232,66.0,82,0,12.66,clear sky
110,Faya,SA,18.3851,42.4509,68.0,32,0,5.75,clear sky
111,Kysyl-Syr,RU,63.8986,122.7617,18.41,97,100,4.0,overcast clouds
112,Saint-Georges,GD,12.0564,-61.7485,81.12,70,81,11.56,broken clouds
113,Caxito,AO,-8.5785,13.6643,77.0,88,40,8.05,moderate rain
114,Keskin,TR,39.6731,33.6136,46.0,80,21,1.01,few clouds
115,Safaga,EG,26.7292,33.9365,77.0,31,0,11.5,clear sky
116,Yellowknife,CA,62.456,-114.3525,10.99,61,20,13.8,few clouds
117,Salalah,OM,17.0151,54.0924,78.8,78,0,3.44,clear sky
118,Cabedelo,BR,-6.9811,-34.8339,82.4,78,20,14.97,few clouds
119,Silao,MX,20.9333,-101.4333,86.0,12,20,5.75,few clouds
120,Roma,US,43.2128,-75.4557,77.0,31,1,10.36,clear sky
121,Georgetown,MY,5.4112,100.3354,80.6,94,20,2.3,few clouds
122,Touros,BR,-5.1989,-35.4608,84.2,65,40,11.5,scattered clouds
123,Luderitz,NA,-26.6481,15.1594,70.95,56,0,9.89,clear sky
124,San Quintin,MX,30.4833,-115.95,68.68,56,1,18.72,clear sky
125,Khatanga,RU,71.9667,102.5,-23.39,100,100,3.49,overcast clouds
126,Sibiti,CG,-3.6819,13.3499,70.81,97,100,2.21,light rain
127,Peniche,PT,39.3558,-9.3811,61.0,84,100,1.99,overcast clouds
128,Urengoy,RU,65.9667,78.3667,1.62,99,93,2.77,overcast clouds
129,Carnarvon,AU,-24.8667,113.6333,73.4,83,65,10.36,broken clouds
130,Saldanha,ZA,-33.0117,17.9442,62.6,77,91,10.36,overcast clouds
131,Fairbanks,US,64.8378,-147.7164,14.0,57,20,18.41,few clouds
132,Norman Wells,CA,65.282,-126.8329,10.4,56,75,19.57,broken clouds
133,Sambava,MG,-14.2667,50.1667,76.19,88,100,8.75,light rain
134,Kushmurun,KZ,52.4503,64.6311,32.67,90,87,4.32,overcast clouds
135,Korla,CN,41.7597,86.1469,52.7,53,92,8.68,overcast clouds
136,Barrow,US,71.2906,-156.7887,-16.6,69,20,9.22,few clouds
137,Katherine,AU,-14.4667,132.2667,73.4,88,90,3.18,overcast clouds
138,Vila Velha,BR,-20.3297,-40.2925,78.01,88,20,4.61,few clouds
139,Ujhani,IN,28.0167,79.0167,76.12,15,0,7.83,clear sky
140,Valparaiso,CL,-33.0393,-71.6273,73.4,40,0,16.11,clear sky
141,Nyurba,RU,63.2842,118.3319,13.21,92,100,8.16,overcast clouds
142,Kaitangata,NZ,-46.2817,169.8464,51.01,97,1,5.01,clear sky
143,Isla Mujeres,MX,21.2311,-86.731,86.0,62,40,12.66,scattered clouds
144,Impfondo,CG,1.6381,18.0667,71.4,85,99,1.39,overcast clouds
145,Cabo San Lucas,MX,22.8909,-109.9124,88.0,42,40,5.75,scattered clouds
146,Vanimo,PG,-2.6741,141.3028,76.84,90,100,3.8,overcast clouds
147,Bridlington,GB,54.0831,-0.1919,46.0,67,100,10.0,overcast clouds
148,Banes,CU,20.9625,-75.7186,84.2,51,40,12.66,scattered clouds
149,Cabuyaro,CO,4.2817,-72.794,89.65,50,18,1.72,few clouds
150,Hofn,IS,64.2539,-15.2082,24.69,55,100,21.88,overcast clouds
151,Sergeyevka,KZ,53.88,67.4158,33.33,92,95,7.7,overcast clouds
152,New Norfolk,AU,-42.7826,147.0587,51.01,70,72,4.45,broken clouds
153,Puerto Ayora,EC,-0.7393,-90.3518,86.0,62,40,18.41,scattered clouds
154,Hami,CN,42.8,93.45,59.97,29,100,8.86,overcast clouds
155,Hithadhoo,MV,-0.6,73.0833,82.74,68,13,14.76,few clouds
156,Dharchula,IN,29.85,80.5333,56.93,30,0,9.8,clear sky
157,Biak,ID,-0.9131,122.8766,75.99,86,98,4.38,overcast clouds
158,Katobu,ID,-4.9408,122.5276,75.42,91,94,1.88,overcast clouds
159,Bambous Virieux,MU,-20.3428,57.7575,80.01,78,40,11.5,scattered clouds
160,Kostomuksha,RU,64.571,30.5767,27.0,89,13,10.0,few clouds
161,Boyolangu,ID,-8.1181,111.8935,74.5,89,100,5.17,overcast clouds
